task_id	hash	native_id	process	name	status	exit	container	cpus	%cpu	memory	%mem	time	attempt	submit	start	complete	rss	vmem	rchar	wchar
5	65/2a4fac	229277	fastqc	fastqc (EA-4r_S4_L003_R1_001)	CACHED	0	-	1	35.5%	-	0.2%	-	1	2020-09-04 00:16:13.356	2020-09-04 00:16:13.421	2020-09-04 00:16:29.203	130.3 MB	3.2 GB	34.7 MB	825 KB
3	93/05fdcc	229280	fastqc	fastqc (EA-1_S1_L003_R1_001)	CACHED	0	-	1	36.4%	-	0.0%	-	1	2020-09-04 00:16:13.368	2020-09-04 00:16:13.424	2020-09-04 00:16:29.219	3.1 MB	139.6 MB	34.7 MB	827.1 KB
6	c7/f8e377	229293	fastqc	fastqc (EA-5_S5_L003_R1_001)	CACHED	0	-	1	31.1%	-	0.0%	-	1	2020-09-04 00:16:13.378	2020-09-04 00:16:13.426	2020-09-04 00:16:29.194	3.2 MB	139.6 MB	34.7 MB	836.7 KB
4	18/5eba66	229309	fastqc	fastqc (EA-2_S2_L003_R1_001)	CACHED	0	-	1	30.4%	-	0.0%	-	1	2020-09-04 00:16:13.385	2020-09-04 00:16:13.428	2020-09-04 00:16:29.095	4.4 MB	139.6 MB	34.7 MB	820.9 KB
1	19/a8323c	1903	qc_index	qc_index (c)	COMPLETED	0	-	1	191.3%	-	0.3%	-	1	2020-09-04 00:16:41.575	2020-09-04 00:16:41.622	2020-09-04 00:17:30.458	164.7 MB	702.8 MB	1.3 GB	281.6 MB
7	06/bf2cc5	4948	salmon_quant	salmon_quant (EA-1_S1_L003_R1_001)	COMPLETED	0	-	1	142.9%	-	0.8%	-	1	2020-09-04 00:17:30.488	2020-09-04 00:17:30.558	2020-09-04 00:17:33.317	515.1 MB	1.1 GB	136.3 MB	2.2 MB
9	b6/14ba2c	4951	salmon_quant	salmon_quant (EA-5_S5_L003_R1_001)	COMPLETED	0	-	1	158.7%	-	0.8%	-	1	2020-09-04 00:17:30.495	2020-09-04 00:17:30.561	2020-09-04 00:17:33.343	511.6 MB	1.1 GB	136.3 MB	2.3 MB
10	a9/17ddc2	4960	salmon_quant	salmon_quant (EA-4r_S4_L003_R1_001)	COMPLETED	0	-	1	159.5%	-	0.8%	-	1	2020-09-04 00:17:30.502	2020-09-04 00:17:30.562	2020-09-04 00:17:33.348	510.1 MB	1.1 GB	136.3 MB	2.3 MB
8	b4/f44e70	4973	salmon_quant	salmon_quant (EA-2_S2_L003_R1_001)	COMPLETED	0	-	1	115.5%	-	0.8%	-	1	2020-09-04 00:17:30.510	2020-09-04 00:17:30.565	2020-09-04 00:17:33.352	517.8 MB	1.1 GB	136.3 MB	2.2 MB
11	00/71a783	6384	multiqc	multiqc	COMPLETED	0	-	1	69.1%	-	0.1%	-	1	2020-09-04 00:17:33.375	2020-09-04 00:17:33.419	2020-09-04 00:17:50.028	53.4 MB	968.4 MB	474.2 MB	3.2 MB
2	c9/e98299	1898	kal_index	kal_index	COMPLETED	0	-	1	91.4%	-	1.9%	-	1	2020-09-04 00:16:41.557	2020-09-04 00:16:41.619	2020-09-04 00:18:22.420	1.2 GB	1.3 GB	62.8 MB	608 MB
12	79/a1d332	8603	kal_mapping	kal_mapping (reads: EA-1_S1_L003_R1_001)	COMPLETED	0	-	1	72.1%	-	1.3%	-	1	2020-09-04 00:18:22.470	2020-09-04 00:18:22.520	2020-09-04 00:18:57.094	853.1 MB	1 GB	608.3 MB	3.5 MB
13	1d/150c3f	8606	kal_mapping	kal_mapping (reads: EA-4r_S4_L003_R1_001)	COMPLETED	0	-	1	72.3%	-	1.3%	-	1	2020-09-04 00:18:22.476	2020-09-04 00:18:22.522	2020-09-04 00:18:57.418	852.3 MB	1 GB	608.3 MB	3.6 MB
14	48/dad375	8624	kal_mapping	kal_mapping (reads: EA-2_S2_L003_R1_001)	COMPLETED	0	-	1	72.4%	-	1.3%	-	1	2020-09-04 00:18:22.490	2020-09-04 00:18:22.524	2020-09-04 00:18:57.598	854.1 MB	1 GB	608.3 MB	3.5 MB
15	b8/44d859	8613	kal_mapping	kal_mapping (reads: EA-5_S5_L003_R1_001)	COMPLETED	0	-	1	72.4%	-	1.3%	-	1	2020-09-04 00:18:22.483	2020-09-04 00:18:22.523	2020-09-04 00:18:57.669	853.4 MB	1 GB	608.3 MB	3.6 MB
16	0e/31d085	12695	sleuth	sleuth	FAILED	1	-	1	-	-	-	-	1	2020-09-04 00:18:57.700	2020-09-04 00:18:57.769	2020-09-04 00:19:27.825	-	-	-	-
