task_id	hash	native_id	process	name	status	exit	container	cpus	%cpu	memory	%mem	time	attempt	submit	start	complete	rss	vmem	rchar	wchar
1	0d/d10978	75777	kal_index	kal_index	CACHED	0	-	1	98.2%	-	7.6%	-	1	2020-09-04 01:15:50.886	2020-09-04 01:15:50.914	2020-09-04 01:18:39.695	4.8 GB	4.9 GB	228.8 MB	1.4 GB
3	c8/faed8e	5956	fastqc	fastqc (circ-2A)	CACHED	0	-	1	53.0%	-	0.5%	-	1	2020-09-04 07:16:44.840	2020-09-04 07:16:44.912	2020-09-04 07:55:40.013	315.1 MB	3.2 GB	8.7 GB	1.5 MB
5	4b/1a8207	6010	fastqc	fastqc (con-1A)	CACHED	0	-	1	53.0%	-	0.5%	-	1	2020-09-04 07:16:44.865	2020-09-04 07:16:44.918	2020-09-04 07:55:36.834	289.2 MB	3.2 GB	8.6 GB	1.6 MB
4	75/6a3249	6036	fastqc	fastqc (circ-3A)	CACHED	0	-	1	53.1%	-	0.5%	-	1	2020-09-04 07:16:44.873	2020-09-04 07:16:44.919	2020-09-04 07:56:25.858	291.7 MB	3.2 GB	8.7 GB	1.5 MB
6	ac/e61eef	5970	fastqc	fastqc (con-2A)	CACHED	0	-	1	53.0%	-	0.4%	-	1	2020-09-04 07:16:44.849	2020-09-04 07:16:44.914	2020-09-04 07:56:17.845	286.5 MB	3.2 GB	8.7 GB	1.6 MB
7	48/cdc615	5988	fastqc	fastqc (con-3A)	CACHED	0	-	1	52.6%	-	0.5%	-	1	2020-09-04 07:16:44.857	2020-09-04 07:16:44.916	2020-09-04 07:55:26.828	299.4 MB	3.2 GB	8.6 GB	1.5 MB
2	8f/f7aedb	5931	fastqc	fastqc (circ-1A)	CACHED	0	-	1	53.1%	-	0.5%	-	1	2020-09-04 07:16:34.694	2020-09-04 07:16:44.906	2020-09-04 07:54:12.854	295.9 MB	3.2 GB	8.4 GB	1.5 MB
13	21/685e04	6117	kal_mapping	kal_mapping (reads: con-3A)	CACHED	0	-	1	97.3%	-	5.4%	-	1	2020-09-04 07:16:44.999	2020-09-04 07:16:45.006	2020-09-04 08:18:12.726	3.4 GB	3.6 GB	9.9 GB	57.5 MB
11	c7/7bdfae	6123	kal_mapping	kal_mapping (reads: con-1A)	CACHED	0	-	1	97.3%	-	5.4%	-	1	2020-09-04 07:16:45.015	2020-09-04 07:16:45.108	2020-09-04 08:14:16.995	3.4 GB	3.6 GB	10 GB	56.9 MB
8	31/de2e1f	6132	kal_mapping	kal_mapping (reads: circ-1A)	CACHED	0	-	1	97.6%	-	5.4%	-	1	2020-09-04 07:16:45.037	2020-09-04 07:16:45.112	2020-09-04 08:17:46.228	3.4 GB	3.6 GB	9.7 GB	56.7 MB
12	31/8a0984	6129	kal_mapping	kal_mapping (reads: con-2A)	CACHED	0	-	1	96.9%	-	5.4%	-	1	2020-09-04 07:16:45.030	2020-09-04 07:16:45.111	2020-09-04 08:14:21.633	3.4 GB	3.6 GB	10 GB	56.9 MB
9	34/7bc403	6120	kal_mapping	kal_mapping (reads: circ-2A)	CACHED	0	-	1	97.4%	-	5.4%	-	1	2020-09-04 07:16:45.008	2020-09-04 07:16:45.106	2020-09-04 08:17:34.324	3.4 GB	3.6 GB	10 GB	56.8 MB
10	37/6151f6	6126	kal_mapping	kal_mapping (reads: circ-3A)	CACHED	0	-	1	97.4%	-	5.4%	-	1	2020-09-04 07:16:45.022	2020-09-04 07:16:45.109	2020-09-04 08:18:27.704	3.4 GB	3.6 GB	10.1 GB	57.5 MB
14	a2/7ff527	109147	sleuth	sleuth	COMPLETED	0	-	1	266.2%	-	34.0%	-	1	2020-09-05 22:27:51.530	2020-09-05 22:27:51.648	2020-09-05 22:30:48.083	21.2 GB	31.4 GB	369.6 MB	110.2 MB
